config,k,p_k,q_k,swap_acceptance_to_k_plus_1,winding_acceptance_rate_mean,winding_accepted_per_chain_mean,winding_attempted_per_chain_mean,sector_flips_per_chain_mean,sector_flip_rate_per_diagnostic_interval,chains_with_sector_flip,num_chains,diagnostic_samples_mean,diagnostic_stride,num_measurements
E_pilot2_static_qhot044_m512,16,0.42782281437498615,0.43999999999999995,,0.3858206960241081,31751.5,82296.0,387.0,0.7573385518590998,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,0,0.05000000000000001,0.08000000000000002,0.5662729658792651,1.2151258870418975e-05,1.0,82296.0,1.0,0.0019569471624266144,4,8,512.0,1,512
F_pilot2_capped_qhot044_m512,1,0.07207755325957116,0.1072171092506085,0.4803149606299213,1.2151258870418975e-05,1.0,82296.0,0.75,0.0014677103718199608,3,8,512.0,1,512
F_pilot2_capped_qhot044_m512,2,0.09819667101303851,0.13713319529104012,0.37292213473315833,1.2151258870418975e-05,1.0,82296.0,0.25,0.0004892367906066536,1,8,512.0,1,512
F_pilot2_capped_qhot044_m512,3,0.12738309998477615,0.1685179022960066,0.237587489063867,9.11344415281423e-06,0.75,82296.0,1.25,0.002446183953033268,4,8,512.0,1,512
F_pilot2_capped_qhot044_m512,4,0.15843428521179742,0.20017960358679707,0.11871172353455817,1.2151258870418975e-05,1.0,82296.0,4.75,0.009295499021526418,7,8,512.0,1,512
F_pilot2_capped_qhot044_m512,5,0.1901276158423472,0.23110692012980275,0.03964348206474191,7.5945367940118595e-06,0.625,82296.0,13.0,0.025440313111545987,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,6,0.22138352264163502,0.26053738657422654,0.01279527559055118,7.5945367940118595e-06,0.625,82296.0,99.25,0.1942270058708415,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,7,0.2513570431315265,0.28796477713831425,0.031496062992125984,0.00017619325362107515,14.5,82296.0,331.125,0.6479941291585127,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,8,0.2794624254374965,0.3131078647149347,0.09044181977252842,0.002058119471177214,169.375,82296.0,383.0,0.7495107632093934,8,8,512.0,1,512
